sgRNA_ID,Target_Gene,Base_Mean_Counts,LFC_Treatment_vs_Control,p_value,FDR,Pathway_Annotation
WDR250_sg2,WDR250,8219,0.0923,0.4474840008433829,0.581914262256212,Unassigned
WDR250_sg3,WDR250,156,0.2479,0.17644955187565325,0.2866225338733925,Unassigned
WDR250_sg4,WDR250,1189,0.5203,6.34082015027062e-05,0.000279167309228234,Unassigned
TMEM274_sg1,TMEM274,725,-0.6372,2.87206811742937e-06,1.5342244217037235e-05,Unassigned
TMEM274_sg2,TMEM274,258,-0.3968,0.013915819313412328,0.03551161784640778,Unassigned
TMEM274_sg3,TMEM274,461,0.4304,0.002917701825551026,0.008964671729468535,Unassigned
TMEM274_sg4,TMEM274,4578,0.7006,1.1297525555794749e-08,7.619733962991063e-08,Unassigned
TMEM274_sg5,TMEM274,758,0.2209,0.10309142628427108,0.18662459501135242,Unassigned
USP385_sg1,USP385,958,-0.6026,5.334127428131495e-06,2.7504954081118058e-05,Unassigned
USP385_sg2,USP385,3646,0.6104,7.532096080119005e-07,4.305695167750956e-06,Unassigned
USP385_sg3,USP385,214,-0.5136,0.002312043550913756,0.0072651329727916065,Unassigned
USP385_sg4,USP385,69,0.1315,0.584561624194454,0.7017655679504886,Unassigned
DNAJ550_sg1,DNAJ550,4687,-0.0955,0.43628380347279627,0.5712016280083743,Unassigned
DNAJ550_sg2,DNAJ550,405,0.2819,0.056261621816868335,0.11415180944853578,Unassigned
DNAJ550_sg3,DNAJ550,1262,-0.2992,0.020904047186479924,0.05010557810757412,Unassigned
DNAJ550_sg4,DNAJ550,105,0.1407,0.49738259478346547,0.6270599122141953,Unassigned
ABCB571_sg1,ABCB571,592,-0.4155,0.0028990416325882368,0.008921370758071655,Unassigned
ABCB571_sg2,ABCB571,64,0.1312,0.5961735586511685,0.7115941258667564,Unassigned
ABCB571_sg3,ABCB571,363,0.0057,0.9698055990303007,0.9818496210484956,Unassigned
ABCB571_sg4,ABCB571,125,0.5562,0.0045358488425369286,0.013286024729164993,Unassigned
ABCB571_sg5,ABCB571,89,-0.1868,0.3944736608906225,0.5302540472586555,Unassigned
TRIM371_sg1,TRIM371,210,-0.1369,0.41897615706655933,0.5541441011813097,Unassigned
TRIM371_sg2,TRIM371,11,0.4631,0.3874949306053471,0.5228880855595724,Unassigned
TRIM371_sg3,TRIM371,58,0.4813,0.06124414775131893,0.12243931977472797,Unassigned
TRIM371_sg4,TRIM371,1068,-0.5554,2.2956760955377142e-05,0.00010828660828008086,Unassigned
TRIM371_sg5,TRIM371,556,-0.1316,0.3497656455468575,0.4845741833566881,Unassigned
TRIM371_sg6,TRIM371,66,-0.2294,0.3483310918943541,0.482988202848522,Unassigned
FAM368_sg1,FAM368,751,0.4333,0.001401098032343522,0.004638373534573566,Unassigned
FAM368_sg2,FAM368,88,0.6923,0.0016677979567829482,0.00542196995052974,Unassigned
FAM368_sg3,FAM368,975,-0.8991,1.0361902236686539e-11,8.280689054357917e-11,Unassigned
FAM368_sg4,FAM368,278,-0.0188,0.9057293806372256,0.9407393025809726,Unassigned
FAM368_sg5,FAM368,203,0.2986,0.08043815602237342,0.15282740219576962,Unassigned
FAM368_sg6,FAM368,288,-0.033,0.8338569329280918,0.8896688238083347,Unassigned
ARHGAP196_sg1,ARHGAP196,15356,0.2307,0.0561763271785945,0.11400959378689182,Unassigned
ARHGAP196_sg2,ARHGAP196,106,0.454,0.02800995213569629,0.06398862047448133,Unassigned
ARHGAP196_sg3,ARHGAP196,464,-0.0256,0.8591662038324657,0.9091750927972619,Unassigned
ARHGAP196_sg4,ARHGAP196,1066,-0.3103,0.018037481921087443,0.044325470722841306,Unassigned
WDR529_sg1,WDR529,78,-0.3001,0.19181385290341812,0.30566320976854056,Unassigned
WDR529_sg2,WDR529,30,-0.4417,0.19162514883007686,0.30549231931673426,Unassigned
WDR529_sg3,WDR529,134,-0.2543,0.1848159039177235,0.29713167832431436,Unassigned
WDR529_sg4,WDR529,1032,0.1136,0.38767024778271364,0.5230776033768737,Unassigned
USP286_sg1,USP286,198,0.1751,0.30851756701297317,0.44012164007894056,Unassigned
USP286_sg2,USP286,234,-0.3968,0.016157201421399453,0.040254695195902475,Unassigned
USP286_sg3,USP286,1295,-0.421,0.0011283286388825307,0.00382225148672944,Unassigned
USP286_sg4,USP286,99,-0.4407,0.037115947074039805,0.08094492673896438,Unassigned
WDR33_sg1,WDR33,289,-0.0622,0.69264907677127,0.7879966743700455,Unassigned
WDR33_sg2,WDR33,34,-0.2933,0.3599556191922969,0.49503385787883497,Unassigned
WDR33_sg3,WDR33,534,0.1068,0.45021513396556834,0.5841891876715852,Unassigned
WDR33_sg4,WDR33,466,0.4477,0.0019244862962601403,0.00616164235728967,Unassigned
WDR33_sg5,WDR33,1089,-0.4935,0.0001647559978082791,0.0006722317749821113,Unassigned
WDR33_sg6,WDR33,59,0.0262,0.918302711891146,0.949323048821575,Unassigned
KRT377_sg1,KRT377,248,0.4861,0.002824485230834573,0.008713961016560797,Unassigned
KRT377_sg2,KRT377,49,0.0602,0.8267595957787524,0.8848026495919866,Unassigned
KRT377_sg3,KRT377,228,0.7857,2.2129986792538276e-06,1.1966467263448959e-05,Unassigned
KRT377_sg4,KRT377,3049,-0.201,0.10513594917211534,0.18962883180566584,Unassigned
KRT377_sg5,KRT377,204,0.265,0.12035560594472389,0.21147172181924076,Unassigned
KRT377_sg6,KRT377,43,-0.3369,0.24555159080369815,0.37006669969410955,Unassigned
ABCC427_sg1,ABCC427,119,0.4223,0.03385940707948272,0.07500976313576145,Unassigned
ABCC427_sg2,ABCC427,29,-0.5147,0.13376084965417087,0.23054265710818833,Unassigned
ABCC427_sg3,ABCC427,47,0.4369,0.11827598388716352,0.20864868379483156,Unassigned
ABCC427_sg4,ABCC427,904,0.0788,0.5537716172950409,0.676761793989377,Unassigned
ABCC427_sg5,ABCC427,38,-0.372,0.22344568596638104,0.34415086656696947,Unassigned
FAM203_sg1,FAM203,528,0.0671,0.6360942761255511,0.7442020233900061,Unassigned
FAM203_sg2,FAM203,343,-0.1717,0.25909007331030554,0.38535955375851094,Unassigned
FAM203_sg3,FAM203,149,0.2253,0.22545113168631947,0.3465635350783759,Unassigned
FAM203_sg4,FAM203,465,0.6856,2.053045383628856e-06,1.1165946611469485e-05,Unassigned
FAM203_sg5,FAM203,81,0.048,0.832489787147807,0.8890955362917128,Unassigned
TMEM515_sg1,TMEM515,1166,0.203,0.11923367668508307,0.21001704441947464,Unassigned
TMEM515_sg2,TMEM515,116,0.4221,0.03539619639092119,0.0778737086922584,Unassigned
TMEM515_sg3,TMEM515,185,-0.0985,0.5734001135251171,0.6931819554220467,Unassigned
TMEM515_sg4,TMEM515,155,0.2565,0.16261408368203534,0.26929582826113924,Unassigned
CYP509_sg1,CYP509,929,-0.2535,0.05623354901589378,0.11411028615238185,Unassigned
CYP509_sg2,CYP509,747,-0.6832,4.799323233630721e-07,2.790304205599256e-06,Unassigned
CYP509_sg3,CYP509,10,-1.0494,0.06127531038245826,0.12248529527410366,Unassigned
CYP509_sg4,CYP509,484,-0.5044,0.00044054773420369877,0.0016462919813292182,Unassigned
CYP509_sg5,CYP509,24,-1.523,4.5210817987985786e-05,0.00020395857738940955,Unassigned
ADAM632_sg1,ADAM632,198,-0.2996,0.08131685206463757,0.1542233886672858,Unassigned
ADAM632_sg2,ADAM632,281,0.2497,0.114853402311143,0.20371302290021814,Unassigned
ADAM632_sg3,ADAM632,195,-0.2433,0.1585605344531401,0.26412082363099404,Unassigned
ADAM632_sg4,ADAM632,700,-0.1933,0.1573399731471281,0.262437406561428,Unassigned
MMP583_sg1,MMP583,973,-0.251,0.05761177524368839,0.11637175177152247,Unassigned
MMP583_sg2,MMP583,104,0.8238,7.454746070704443e-05,0.000323556687096547,Unassigned
MMP583_sg3,MMP583,98,0.6828,0.0012898845276174077,0.0043053555661462205,Unassigned
ADAM587_sg1,ADAM587,313,0.3593,0.02035235121620808,0.04904968962775084,Unassigned
ADAM587_sg2,ADAM587,33,-0.7005,0.030881749984725773,0.06942839474983313,Unassigned
ADAM587_sg3,ADAM587,162,0.0178,0.9216635297431144,0.9516729501030299,Unassigned
ADAM587_sg4,ADAM587,2495,-0.4434,0.0003850531822844286,0.00145927178733361,Unassigned
USP285_sg1,USP285,34,0.0351,0.9127069395335163,0.9458756455024696,Unassigned
USP285_sg2,USP285,198,0.4028,0.01910882410294152,0.04650857724227207,Unassigned
USP285_sg3,USP285,136,-0.3878,0.04227296778629666,0.09003187800574328,Unassigned
OR708_sg1,OR708,6687,-0.0809,0.5070006900171898,0.6353624359926224,Unassigned
OR708_sg2,OR708,147,-0.2509,0.17871584120768014,0.28954287664255984,Unassigned
OR708_sg3,OR708,161,-0.4466,0.013996787289787283,0.03565757631569451,Unassigned
OR708_sg4,OR708,70,-0.3471,0.14689058654286558,0.24848977085180823,Unassigned
OR708_sg5,OR708,335,-0.5153,0.0007471454407066371,0.002638225426224001,Unassigned
OR708_sg6,OR708,495,-0.0649,0.6500341057470237,0.7545311549380416,Unassigned
CYP494_sg1,CYP494,87,-0.2244,0.3100927322085233,0.44182588232180675,Unassigned
CYP494_sg2,CYP494,1455,0.074,0.5642484420544442,0.6859329468203795,Unassigned
CYP494_sg3,CYP494,496,-0.0794,0.5788042243658194,0.6970185746216515,Unassigned
CYP494_sg4,CYP494,1185,0.7673,3.7074350721075333e-09,2.598669443066028e-08,Unassigned
CYP494_sg5,CYP494,202,0.921,7.234329532208265e-08,4.5214559576301653e-07,Unassigned
CCDC388_sg1,CCDC388,476,0.0354,0.8056409035923613,0.8708867991773954,Unassigned
CCDC388_sg2,CCDC388,240,0.2975,0.06967169210131056,0.1357946181808288,Unassigned
CCDC388_sg3,CCDC388,2941,0.021,0.8656461547115822,0.913901613595789,Unassigned
CCDC388_sg4,CCDC388,393,0.2033,0.17074896945605456,0.2795192122493526,Unassigned
MMP563_sg1,MMP563,335,0.2503,0.10149057798473429,0.18430492370109133,Unassigned
MMP563_sg2,MMP563,166,0.148,0.41140698997132275,0.5467444714777923,Unassigned
MMP563_sg3,MMP563,152,-0.4737,0.010353276323851746,0.027389619904369698,Unassigned
MMP563_sg4,MMP563,472,0.0355,0.8053285620466717,0.870750986138548,Unassigned
MMP563_sg5,MMP563,1129,-0.0728,0.5770300441887969,0.6958297949357096,Unassigned
MMP563_sg6,MMP563,118,-0.1012,0.6121042673498661,0.724955705507145,Unassigned
MMP325_sg1,MMP325,399,0.2592,0.07999682316833914,0.15208521514893372,Unassigned
MMP325_sg2,MMP325,435,-0.1977,0.17558706048034856,0.2855074154152009,Unassigned
MMP325_sg3,MMP325,565,-0.3006,0.032243737026054334,0.07202960687449593,Unassigned
MMP325_sg4,MMP325,26,0.1622,0.6525957763668204,0.7563607179170683,Unassigned
MMP325_sg5,MMP325,83,-0.2504,0.2654161631133395,0.3927824039759365,Unassigned
TRIM461_sg1,TRIM461,43,-0.9383,0.0012195163669505695,0.004093252518294594,Unassigned
TRIM461_sg2,TRIM461,347,0.3921,0.009789855518585681,0.026143463197220086,Unassigned
TRIM461_sg3,TRIM461,86,0.0292,0.8953442072390774,0.9340772783826792,Unassigned
TRIM461_sg4,TRIM461,157,0.7894,1.61577379238587e-05,7.775619790114871e-05,Unassigned
TRIM461_sg5,TRIM461,55,-0.1366,0.6030183133271092,0.7166844703198351,Unassigned
RAB663_sg1,RAB663,180,-2.1227,2.1015365802801112e-33,2.8867260718133397e-32,Spliceosome
RAB663_sg2,RAB663,61,-1.1501,5.087450747364276e-06,2.6341650400574436e-05,Unassigned
RAB663_sg3,RAB663,1030,-1.8604,2.1891440918781427e-45,3.8677457453677433e-44,Unassigned
RAB663_sg4,RAB663,678,-1.1861,5.380866854536079e-18,5.2039331281780267e-17,Unassigned
RAB663_sg5,RAB663,414,-1.7186,1.5948771868630278e-31,2.1340907941967367e-30,Unassigned
RAB663_sg6,RAB663,210,-1.9207,8.266025684979742e-30,1.0615615177628093e-28,Unassigned
MMP797_sg1,MMP797,16,-0.3228,0.47250542915707217,0.6038349503505667,Unassigned
MMP797_sg2,MMP797,166,0.4421,0.0141480878366004,0.03596971483881458,Unassigned
MMP797_sg3,MMP797,105,-0.3311,0.11023886874306309,0.197066265182451,Unassigned
MMP797_sg4,MMP797,479,-0.1306,0.3637384480005682,0.499046622153894,Unassigned
MMP797_sg5,MMP797,837,0.4819,0.0003265265825316268,0.0012565158383720885,Unassigned
FAM829_sg1,FAM829,538,0.359,0.011090907885379312,0.02909981078899592,Unassigned
FAM829_sg2,FAM829,2196,-0.4285,0.0006435586616742996,0.002313294973667504,Unassigned
FAM829_sg3,FAM829,141,0.4294,0.02300440088170229,0.05419601275726941,Unassigned
FAM829_sg4,FAM829,132,0.031,0.8722013619864958,0.9186224146747252,Unassigned
FAM829_sg5,FAM829,1567,0.0219,0.863961014383,0.9128920270319104,Unassigned
ARHGAP453_sg1,ARHGAP453,424,-0.0726,0.6203126199140532,0.7321475842208176,Unassigned
ARHGAP453_sg2,ARHGAP453,228,0.6987,2.564320721910684e-05,0.00012016498228259998,Unassigned
ARHGAP453_sg3,ARHGAP453,5270,0.2377,0.05199178101944712,0.10689099716169227,Unassigned
ARHGAP453_sg4,ARHGAP453,786,0.226,0.09408902378988618,0.1735959848521885,Unassigned
ARHGAP453_sg5,ARHGAP453,248,-0.0063,0.9689200809700991,0.9813959988494073,Unassigned
PCDH468_sg1,PCDH468,118,0.2943,0.14030669979272492,0.23924070670579445,Unassigned
PCDH468_sg2,PCDH468,2416,0.2932,0.019053901069773897,0.04641255538269056,Unassigned
PCDH468_sg3,PCDH468,451,0.1893,0.1920124692121905,0.3058822258053162,Unassigned
PCDH468_sg4,PCDH468,343,0.2312,0.1285993837433285,0.22315950441345758,Unassigned
OR720_sg1,OR720,911,0.6571,7.797217366042594e-07,4.44073498154183e-06,Unassigned
OR720_sg2,OR720,1237,0.4511,0.0005057648191759191,0.0018626251626905933,Unassigned
OR720_sg3,OR720,754,-0.0164,0.9034776242375662,0.9394001774123526,Unassigned
OR720_sg4,OR720,1244,-0.1199,0.35512809317531313,0.4898318526556043,Unassigned
OR720_sg5,OR720,650,0.7614,3.3586293837511143e-08,2.1594273791798846e-07,Unassigned
OR283_sg1,OR283,759,0.765,1.6334213877980505e-08,1.0860514546529592e-07,Unassigned
OR283_sg2,OR283,110,0.5152,0.01160339081481828,0.030259190233357828,Unassigned
OR283_sg3,OR283,4992,0.8336,1.0021939064898485e-11,8.017551251918788e-11,Unassigned
OR283_sg4,OR283,52,0.7204,0.0072934517461967436,0.020225878386568894,Unassigned
OR283_sg5,OR283,525,0.0103,0.9418774770210148,0.9657640409676138,Unassigned
COL753_sg1,COL753,44,-0.7533,0.008758053582514138,0.023773218193578007,Unassigned
COL753_sg2,COL753,285,-0.47,0.0029113698287389295,0.008947049258570773,Unassigned
COL753_sg3,COL753,140,0.0358,0.8500283267480058,0.9023016701733838,Unassigned
COL753_sg4,COL753,405,-0.1391,0.3462118969028173,0.480538396737509,Unassigned
COL753_sg5,COL753,551,-0.2027,0.15009549285170995,0.2528846897422946,Unassigned
ABCA445_sg1,ABCA445,79,0.1045,0.6480833698684892,0.7531182637145444,Unassigned
ABCA445_sg2,ABCA445,316,0.3777,0.014549913061194008,0.036853883133723425,Unassigned
ABCA445_sg3,ABCA445,2672,-0.2687,0.03104543288235431,0.06971279838852015,Unassigned
ABCA445_sg4,ABCA445,46,-0.3666,0.1939098259462032,0.30834807475808845,Unassigned
ABCA445_sg5,ABCA445,92,-0.2108,0.33084736293434114,0.46445582068461555,Unassigned
ABCA445_sg6,ABCA445,1201,0.3474,0.007534597264623048,0.020767908667648976,Unassigned
SLC105_sg1,SLC105,371,-0.1282,0.39260013853412234,0.5281616213463529,Unassigned
SLC105_sg2,SLC105,414,0.1942,0.18693528752653288,0.2997855887026289,Unassigned
SLC105_sg3,SLC105,1531,0.3547,0.005553212452063738,0.015912197646885475,Unassigned
SLC105_sg4,SLC105,100,0.5636,0.007482292537879536,0.02065690940418681,Unassigned
SLC105_sg5,SLC105,152,0.5215,0.004767046722806994,0.013884602105263091,Unassigned
SLC105_sg6,SLC105,126,-0.0364,0.852306816791647,0.9040595565905484,Unassigned
SLC65_sg1,SLC65,196,-0.2106,0.22174752076452997,0.3419529066284925,Unassigned
SLC65_sg2,SLC65,2463,0.2194,0.07920286829031242,0.15083330339357376,Unassigned
SLC65_sg3,SLC65,26,-0.2458,0.4950780198907683,0.6249932922371254,Unassigned
SLC65_sg4,SLC65,55,0.2917,0.26659817276747577,0.3938680482800729,Unassigned
ARHGAP757_sg1,ARHGAP757,43,-0.3964,0.17187760736835422,0.2808457636737814,Unassigned
ARHGAP757_sg2,ARHGAP757,2704,-0.0628,0.6142074809534688,0.7264715513564132,Unassigned
ARHGAP757_sg3,ARHGAP757,131,-0.1138,0.5557267157138015,0.67854299842955,Unassigned
ARHGAP757_sg4,ARHGAP757,202,0.4569,0.007553657769922924,0.0208127969413747,Unassigned
ARHGAP757_sg5,ARHGAP757,29,0.3571,0.29820426277138845,0.42919439086267763,Unassigned
ARHGAP757_sg6,ARHGAP757,223,0.4496,0.0070608028511886176,0.019657023527807956,Unassigned
RAB50_sg1,RAB50,1212,0.2696,0.03796566599395986,0.08242654362561845,Unassigned
RAB50_sg2,RAB50,483,-0.2225,0.12112121282869319,0.21259281446646358,Unassigned
RAB50_sg3,RAB50,281,0.2365,0.13526746711728757,0.23252486898456493,Unassigned
RAB50_sg4,RAB50,32,-0.0811,0.8052197823268588,0.8706961314088006,Unassigned
RAB50_sg5,RAB50,202,-0.3067,0.0729548944758317,0.14102105890946848,Unassigned
RAB50_sg6,RAB50,412,0.8672,3.871047238061893e-09,2.709552429814671e-08,Unassigned
SLC253_sg1,SLC253,75,0.2252,0.33422333524207526,0.4681436201915332,Unassigned
SLC253_sg2,SLC253,882,0.1696,0.20366627595853426,0.32022999364549415,Unassigned
SLC253_sg3,SLC253,1246,0.1853,0.15300372990885072,0.25680384341868195,Unassigned
SLC253_sg4,SLC253,149,-0.1245,0.5028506515236801,0.6318083570776142,Unassigned
ADAM301_sg1,ADAM301,981,-0.9033,8.123209718074932e-12,6.505506981907314e-11,Unassigned
ADAM301_sg2,ADAM301,280,-0.5593,0.0004167212438526757,0.001566621217491262,Unassigned
ADAM301_sg3,ADAM301,1846,0.0196,0.8767744418663946,0.9220146261915255,Unassigned
COL156_sg1,COL156,6983,-0.3188,0.008843376760919109,0.023983122656623872,Unassigned
COL156_sg2,COL156,64,-0.117,0.6365198078421335,0.7444095678802435,Unassigned
COL156_sg3,COL156,1048,-0.6702,3.375140187206459e-07,1.9916248154247396e-06,Unassigned
COL156_sg4,COL156,2339,-0.3678,0.003316842183319651,0.01005306784194681,Unassigned
PCDH283_sg1,PCDH283,77,0.0597,0.7961448945852457,0.8644352818515154,Unassigned
PCDH283_sg2,PCDH283,139,0.4792,0.011538513153857137,0.030116181887568653,Unassigned
PCDH283_sg3,PCDH283,137,0.0594,0.7550737493311339,0.8351969795713449,Unassigned
PCDH283_sg4,PCDH283,271,-0.0017,0.9917277466153724,0.995044561821444,Unassigned
PCDH283_sg5,PCDH283,194,-0.1479,0.3919967882912141,0.5274918654676785,Unassigned
PCDH283_sg6,PCDH283,245,-0.8666,1.1005702680922676e-07,6.760259632016386e-07,Unassigned
SLC668_sg1,SLC668,1161,0.3216,0.013611771378463332,0.034860264756180634,Unassigned
SLC668_sg2,SLC668,19,-0.0256,0.9508186968466361,0.9715449899659089,Unassigned
SLC668_sg3,SLC668,77,0.4013,0.08233899076148103,0.155806296787071,Unassigned
SLC668_sg4,SLC668,902,0.4447,0.0008365445722644838,0.0029141125369176167,Unassigned
SLC668_sg5,SLC668,757,0.326,0.016148842085642674,0.040254695195902475,Unassigned
ANKRD14_sg1,ANKRD14,68,-0.3484,0.1498490124700762,0.2525261416752211,Unassigned
ANKRD14_sg2,ANKRD14,765,-0.0316,0.8154348953528868,0.8780604108050029,Unassigned
ANKRD14_sg3,ANKRD14,2417,-0.1615,0.19647432776146567,0.3113661816400065,Unassigned
ANKRD14_sg4,ANKRD14,307,-0.7301,2.6544952457978103e-06,1.4230675013211992e-05,Unassigned
ANKRD14_sg5,ANKRD14,73,-0.5881,0.012551447118741402,0.03242709383071323,Unassigned
ANKRD14_sg6,ANKRD14,1227,0.317,0.014572792923861499,0.036886921002011894,Unassigned
ABCB744_sg1,ABCB744,4379,0.5231,2.054522405821396e-05,9.75865613911366e-05,Unassigned
ABCB744_sg2,ABCB744,87,-0.0256,0.9079946715126206,0.9422941796519516,Unassigned
ABCB744_sg3,ABCB744,350,0.059,0.697014062036573,0.7907435282520493,Unassigned
ABCB744_sg4,ABCB744,1695,-0.5659,8.565862873147103e-06,4.281504268484057e-05,Unassigned
ABCB744_sg5,ABCB744,393,-0.5256,0.00039840770153436975,0.0015056980405682909,Unassigned
OLFM771_sg1,OLFM771,24,2.2526,1.6071149510457455e-09,1.1561978065077306e-08,Unassigned
OLFM771_sg2,OLFM771,642,2.5444,8.469632747204756e-76,2.674620867538344e-74,Spliceosome
OLFM771_sg3,OLFM771,76,2.0287,2.3278565499117177e-18,2.2688660330523564e-17,Unassigned
OLFM771_sg4,OLFM771,49,3.4706,1.630312288271622e-36,2.3696399538831713e-35,Unassigned
ABCB335_sg1,ABCB335,25,-0.075,0.8379163197988426,0.8925397526617411,Unassigned
ABCB335_sg2,ABCB335,1970,-0.4451,0.0004197707991221413,0.001576900071833739,Unassigned
ABCB335_sg3,ABCB335,94,0.0866,0.6875497869575445,0.7841183476562793,Unassigned
ABCB335_sg4,ABCB335,545,0.4078,0.0038494049712324736,0.011490761108156639,Unassigned
ABCB335_sg5,ABCB335,787,0.166,0.2187082846739954,0.3381041193558622,Unassigned
OLFM139_sg1,OLFM139,421,-0.2748,0.061063160587004305,0.12215889687984324,Unassigned
OLFM139_sg2,OLFM139,515,-0.3838,0.00696516319368975,0.019419599982406367,Unassigned
OLFM139_sg3,OLFM139,585,0.1071,0.4433892026559081,0.5783534207252251,Unassigned
OLFM139_sg4,OLFM139,406,-0.673,5.13680737639165e-06,2.6588029898507505e-05,Unassigned
OLFM139_sg5,OLFM139,106,-0.3246,0.11625094373446468,0.20559863832935768,Unassigned
OLFM139_sg6,OLFM139,92,0.0743,0.7318562583193893,0.8178992605268096,Unassigned
GPR541_sg1,GPR541,282,-0.487,0.0020881787109595833,0.006629138764951059,Unassigned
GPR541_sg2,GPR541,273,-0.188,0.23793684628763756,0.3613498728677294,Unassigned
GPR541_sg3,GPR541,629,-0.2466,0.07495302155906795,0.14436252226322796,Unassigned
GPR541_sg4,GPR541,1724,-0.323,0.010998692694438332,0.028873011973499296,Unassigned
GPR541_sg5,GPR541,553,-0.346,0.013994976638511517,0.03565757631569451,Unassigned
GPR541_sg6,GPR541,98,-0.281,0.18541978586790075,0.2978115271411503,Unassigned
KDM108_sg1,KDM108,13,1.5042,0.002382637241833611,0.007465961693650336,Unassigned
KDM108_sg2,KDM108,104,2.1162,2.5381819772724425e-24,2.8799341648325745e-23,Unassigned
KDM108_sg3,KDM108,44,1.5402,8.331890573564428e-08,5.179376651614854e-07,Unassigned
KDM108_sg4,KDM108,110,1.7341,1.9845099760564346e-17,1.8912102694311638e-16,DNA replication
COL329_sg1,COL329,475,-0.2268,0.11502996582094131,0.20399105782045826,Unassigned
COL329_sg2,COL329,375,-0.156,0.29720823215344583,0.42825269785722325,Unassigned
COL329_sg3,COL329,5363,0.3491,0.0043094472941692785,0.012697251897964874,Unassigned
COL329_sg4,COL329,682,0.0367,0.7891130273201217,0.8594285995772319,Unassigned
COL329_sg5,COL329,5789,-0.0569,0.6412827069950455,0.7476048627184995,Unassigned
COL862_sg1,COL862,966,0.2171,0.10075623221606517,0.1832576866638284,Unassigned
COL862_sg2,COL862,1683,-0.43,0.0007236409890929335,0.0025667095853379057,Unassigned
COL862_sg3,COL862,193,-0.3586,0.038225058639637786,0.08283384565076087,Unassigned
COL862_sg4,COL862,66,0.1596,0.5140909947133817,0.6417580659704333,Unassigned
COL862_sg5,COL862,168,0.3966,0.02721168233464704,0.06245986763882259,Unassigned
SLC895_sg1,SLC895,324,0.4098,0.007715067104087301,0.021176461219069326,Unassigned
SLC895_sg2,SLC895,129,0.5963,0.002118733938551197,0.00671760919007989,Unassigned
SLC895_sg3,SLC895,74,0.1827,0.4356681809612445,0.5706331408899339,Unassigned
SLC895_sg4,SLC895,617,-0.4814,0.0005226755978402173,0.001918310244091818,Unassigned
SLC895_sg5,SLC895,73,-0.0182,0.9383256855632852,0.9631153218824899,Unassigned
ABCC695_sg1,ABCC695,33,-1.7022,1.5607391093480498e-07,9.455204620444565e-07,Unassigned
ABCC695_sg2,ABCC695,61,-1.4888,3.5405996980475976e-09,2.485212703355824e-08,p53 signaling pathway
ABCC695_sg3,ABCC695,232,-1.9206,3.359567792328367e-31,4.455660202027011e-30,PI3K-Akt signaling pathway
ABCC695_sg4,ABCC695,75,-1.7662,3.6646527830300905e-14,3.2071057027684574e-13,Unassigned
ABCC695_sg5,ABCC695,235,-1.9819,2.634986131158365e-33,3.6161749283966583e-32,Unassigned
ABCB280_sg1,ABCB280,813,-0.5253,9.40936009389727e-05,0.0003999444641781214,Unassigned
ABCB280_sg2,ABCB280,782,-1.1582,9.76740321871236e-18,9.391733864146501e-17,Unassigned
ABCB280_sg3,ABCB280,123,-0.3072,0.11875753523137775,0.2093258552844496,Unassigned
ABCB280_sg4,ABCB280,47,-0.5578,0.04610449722411606,0.09664162358325055,Unassigned
ABCB280_sg5,ABCB280,139,-0.4482,0.018127390146827495,0.04451716637236614,Unassigned
DNAJ619_sg1,DNAJ619,883,0.0338,0.8001821303437153,0.8676255569723674,Unassigned
DNAJ619_sg2,DNAJ619,1254,-0.1517,0.24182180773975537,0.365731711645123,Unassigned
DNAJ619_sg3,DNAJ619,561,-0.3452,0.014024531001074191,0.035722187980321424,Unassigned
DNAJ619_sg4,DNAJ619,2003,-0.3556,0.004793100979903431,0.013944242571480112,Unassigned
DNAJ619_sg5,DNAJ619,4420,0.1966,0.10940858692909879,0.19586259125035144,Unassigned
FAM635_sg1,FAM635,160,0.0115,0.9495170489854404,0.9706482803403056,Unassigned
FAM635_sg2,FAM635,3071,1.0432,3.9996466859216894e-17,3.789936847051506e-16,Unassigned
FAM635_sg3,FAM635,223,-0.1252,0.45301175405614513,0.5866001649552984,Unassigned
FAM635_sg4,FAM635,1525,-0.0815,0.5240248761977534,0.6500326275146123,Unassigned
FAM635_sg5,FAM635,956,0.128,0.33376297825080425,0.46780037500201527,Unassigned
PCDH349_sg1,PCDH349,17,0.1237,0.7770482922801039,0.8510934198029615,Unassigned
PCDH349_sg2,PCDH349,78,0.7442,0.0012080616759283364,0.004062076919732133,Unassigned
PCDH349_sg3,PCDH349,53,0.3166,0.23483584516063882,0.3579814712814616,Unassigned
WDR577_sg1,WDR577,23,-0.8876,0.019692430487370367,0.04770453121940496,Unassigned
WDR577_sg2,WDR577,1235,-0.3279,0.011478639437732805,0.029996444523691997,Unassigned
WDR577_sg3,WDR577,7355,-0.2358,0.052609097005528835,0.10799732517899721,Unassigned
WDR577_sg4,WDR577,224,-0.5049,0.0024552254458750397,0.007669383941717117,Unassigned
WDR577_sg5,WDR577,1189,-0.6499,5.866294439061892e-07,3.3896154308909236e-06,Unassigned
CYP10_sg1,CYP10,3062,0.1637,0.18690453293949616,0.299782719642049,Unassigned
CYP10_sg2,CYP10,451,-0.703,1.2655414237460533e-06,7.067431629259418e-06,Unassigned
CYP10_sg3,CYP10,318,-0.0452,0.7697545689029398,0.8456363361318366,Unassigned
CYP10_sg4,CYP10,228,0.2585,0.11948661022209571,0.2102897047203374,Unassigned
